Scene IDX	Mean Position Error MPC	Mean Position Error Residual Koopman	Percentage Improvement MPC to Koopman	RMS Error MPC	RMS Error Residual Koopman	RMS Error Improvement MPC %	Mean Longitudinal Jerk MPC	Mean Longitudinal Jerk Koopman	Mean Steering Jerk MPC	Mean Steering Jerk Koopman
1	0.581785	0.178306	69.35	0.815266	0.214893	73.64	0.640291	0.612841	0.780019	0.407929
2	0.814079	0.210694	74.12	1.037666	0.247531	76.15	0.664554	0.631358	0.753181	0.354712
7	0.174599	0.107574	38.39	0.230031	0.137765	40.11	0.695646	0.683358	0.52117	0.558317
8	0.161132	0.126948	21.21	0.208386	0.161815	22.35	0.668116	0.697618	0.637732	0.48339
9	0.37386	0.106831	71.42	0.75933	0.137445	81.9	0.88626	0.700303	0.575173	0.653058
