Scene IDX	Mean Position Error MPC	Mean Position Error Residual Koopman	Percentage Improvement MPC to Koopman	RMS Error MPC	RMS Error Residual Koopman	RMS Error Improvement MPC %	Mean Longitudinal Jerk MPC	Mean Longitudinal Jerk Koopman	Mean Steering Jerk MPC	Mean Steering Jerk Koopman
1	0.452444	0.138898	69.3	0.585914	0.171512	70.73	0.626324	0.577273	0.599588	0.330127
2	0.653733	0.149199	77.18	0.80093	0.1821	77.26	0.654231	0.527335	0.629415	0.262576
4	0.617106	0.166682	72.99	0.744449	0.198372	73.35	0.479958	0.490565	0.564941	0.234305
5	0.427173	0.151749	64.48	0.505559	0.175512	65.28	0.540068	0.516987	0.518072	0.319792
6	0.257145	0.12694	50.63	0.293307	0.15083	48.58	0.559485	0.53039	0.510566	0.380097
7	0.076993	0.053574	30.42	0.09984	0.068527	31.36	0.64837	0.645061	0.498171	0.534501
8	0.160892	0.076047	52.73	0.202914	0.09488	53.24	0.65109	0.563368	0.528542	0.419889
9	0.376293	0.091566	75.67	0.607733	0.101227	83.34	0.709792	0.58303	0.56317	0.334507
